Variable,FeatureOrMeta,SubgroupAnalysis,FeatureCategory
Maximum Temperature 24 hours before index date,Feature,No,Vital signs
Minimum Temperature 24 hours before index date,Feature,No,Vital signs
Mean Temperature 24 hours before index date,Feature,No,Vital signs
Median Temperature 24 hours before index date,Feature,No,Vital signs
SD of Temperature 24 hours before index date,Feature,No,Vital signs
Number of Temperature tested 48 hours before index date,Feature,No,Vital signs
Had Temperature tested 48 hours before index date (Yes/No),Feature,No,Vital signs
Maximum Temperature 48 hours before index date,Feature,No,Vital signs
Minimum Temperature 48 hours before index date,Feature,No,Vital signs
Mean Temperature 48 hours before index date,Feature,No,Vital signs
Median Temperature 48 hours before index date,Feature,No,Vital signs
SD of Temperature 48 hours before index date,Feature,No,Vital signs
Number of Temperature tested 8760 hours before index date,Feature,No,Vital signs
Had Temperature tested 8760 hours before index date (Yes/No),Feature,No,Vital signs
"Time elapsed since most recent NEWS2 score before index date, hour",Feature,No,Vital signs
Number of NEWS2 score tested 24 hours before index date,Feature,No,Vital signs
Had NEWS2 score tested 24 hours before index date (Yes/No),Feature,No,Vital signs
Maximum NEWS2 score 24 hours before index date,Feature,No,Vital signs
Minimum NEWS2 score 24 hours before index date,Feature,No,Vital signs
Mean NEWS2 score 24 hours before index date,Feature,No,Vital signs
Median NEWS2 score 24 hours before index date,Feature,No,Vital signs
SD of NEWS2 score 24 hours before index date,Feature,No,Vital signs
Number of NEWS2 score tested 48 hours before index date,Feature,No,Vital signs
Had NEWS2 score tested 48 hours before index date (Yes/No),Feature,No,Vital signs
Maximum NEWS2 score 48 hours before index date,Feature,No,Vital signs
Minimum NEWS2 score 48 hours before index date,Feature,No,Vital signs
Mean NEWS2 score 48 hours before index date,Feature,No,Vital signs
Median NEWS2 score 48 hours before index date,Feature,No,Vital signs
SD of NEWS2 score 48 hours before index date,Feature,No,Vital signs
Number of NEWS2 score tested 8760 hours before index date,Feature,No,Vital signs
Had NEWS2 score tested 8760 hours before index date (Yes/No),Feature,No,Vital signs
Number of CPAP 24 hours before index date,Feature,No,Vital signs
Had CPAP 24 hours before index date (Yes/No),Feature,No,Vital signs
Number of High flow nasal oxygen 24 hours before index date,Feature,No,Vital signs
Had High flow nasal oxygen 24 hours before index date (Yes/No),Feature,No,Vital signs
Number of Nasal cannulae 24 hours before index date,Feature,No,Vital signs
Had Nasal cannulae 24 hours before index date (Yes/No),Feature,No,Vital signs
Number of Nebuliser 24 hours before index date,Feature,No,Vital signs
Had Nebuliser 24 hours before index date (Yes/No),Feature,No,Vital signs
Number of Non-invasive system 24 hours before index date,Feature,No,Vital signs
Had Non-invasive system 24 hours before index date (Yes/No),Feature,No,Vital signs
Number of Other devices 24 hours before index date,Feature,No,Vital signs
Had Other devices 24 hours before index date (Yes/No),Feature,No,Vital signs
Number of Reservoir mask 24 hours before index date,Feature,No,Vital signs
Had Reservoir mask 24 hours before index date (Yes/No),Feature,No,Vital signs
Number of Room air 24 hours before index date,Feature,No,Vital signs
Had Room air 24 hours before index date (Yes/No),Feature,No,Vital signs
Number of Simple mask 24 hours before index date,Feature,No,Vital signs
Had Simple mask 24 hours before index date (Yes/No),Feature,No,Vital signs
Number of Trache mask 24 hours before index date,Feature,No,Vital signs
Had Trache mask 24 hours before index date (Yes/No),Feature,No,Vital signs
Number of Venturi face mask 24 hours before index date,Feature,No,Vital signs
Had Venturi face mask 24 hours before index date (Yes/No),Feature,No,Vital signs
Number of CPAP 48 hours before index date,Feature,No,Vital signs
Had CPAP 48 hours before index date (Yes/No),Feature,No,Vital signs
Number of High flow nasal oxygen 48 hours before index date,Feature,No,Vital signs
Had High flow nasal oxygen 48 hours before index date (Yes/No),Feature,No,Vital signs
Number of Nasal cannulae 48 hours before index date,Feature,No,Vital signs
Had Nasal cannulae 48 hours before index date (Yes/No),Feature,No,Vital signs
Number of Nebuliser 48 hours before index date,Feature,No,Vital signs
Had Nebuliser 48 hours before index date (Yes/No),Feature,No,Vital signs
Number of Non-invasive system 48 hours before index date,Feature,No,Vital signs
Had Non-invasive system 48 hours before index date (Yes/No),Feature,No,Vital signs
Number of Other devices 48 hours before index date,Feature,No,Vital signs
Had Other devices 48 hours before index date (Yes/No),Feature,No,Vital signs
Number of Reservoir mask 48 hours before index date,Feature,No,Vital signs
Had Reservoir mask 48 hours before index date (Yes/No),Feature,No,Vital signs
Number of Room air 48 hours before index date,Feature,No,Vital signs
Had Room air 48 hours before index date (Yes/No),Feature,No,Vital signs
Number of Simple mask 48 hours before index date,Feature,No,Vital signs
Had Simple mask 48 hours before index date (Yes/No),Feature,No,Vital signs
Number of Trache mask 48 hours before index date,Feature,No,Vital signs
Had Trache mask 48 hours before index date (Yes/No),Feature,No,Vital signs
Number of Venturi face mask 48 hours before index date,Feature,No,Vital signs
Had Venturi face mask 48 hours before index date (Yes/No),Feature,No,Vital signs
Number of CPAP 8760 hours before index date,Feature,No,Vital signs
Had CPAP 8760 hours before index date (Yes/No),Feature,No,Vital signs
Number of High flow nasal oxygen 8760 hours before index date,Feature,No,Vital signs
Had High flow nasal oxygen 8760 hours before index date (Yes/No),Feature,No,Vital signs
Number of Nasal cannulae 8760 hours before index date,Feature,No,Vital signs
Had Nasal cannulae 8760 hours before index date (Yes/No),Feature,No,Vital signs
Number of Nebuliser 8760 hours before index date,Feature,No,Vital signs
Had Nebuliser 8760 hours before index date (Yes/No),Feature,No,Vital signs
Number of Non-invasive system 8760 hours before index date,Feature,No,Vital signs
Had Non-invasive system 8760 hours before index date (Yes/No),Feature,No,Vital signs
Number of Other devices 8760 hours before index date,Feature,No,Vital signs
Had Other devices 8760 hours before index date (Yes/No),Feature,No,Vital signs
Number of Reservoir mask 8760 hours before index date,Feature,No,Vital signs
Had Reservoir mask 8760 hours before index date (Yes/No),Feature,No,Vital signs
Number of Room air 8760 hours before index date,Feature,No,Vital signs
Had Room air 8760 hours before index date (Yes/No),Feature,No,Vital signs
Number of Simple mask 8760 hours before index date,Feature,No,Vital signs
Had Simple mask 8760 hours before index date (Yes/No),Feature,No,Vital signs
Number of Trache mask 8760 hours before index date,Feature,No,Vital signs
Had Trache mask 8760 hours before index date (Yes/No),Feature,No,Vital signs
Number of Venturi face mask 8760 hours before index date,Feature,No,Vital signs
Had Venturi face mask 8760 hours before index date (Yes/No),Feature,No,Vital signs
Number of CPAP within current admission,Feature,No,Vital signs
Had CPAP within current admission (Yes/No),Feature,No,Vital signs
Number of High flow nasal oxygen within current admission,Feature,No,Vital signs
Had High flow nasal oxygen within current admission (Yes/No),Feature,No,Vital signs
Number of Nasal cannulae within current admission,Feature,No,Vital signs
Had Nasal cannulae within current admission (Yes/No),Feature,No,Vital signs
Number of Nebuliser within current admission,Feature,No,Vital signs
Had Nebuliser within current admission (Yes/No),Feature,No,Vital signs
Number of Non-invasive system within current admission,Feature,No,Vital signs
Had Non-invasive system within current admission (Yes/No),Feature,No,Vital signs
Number of Other devices within current admission,Feature,No,Vital signs
Had Other devices within current admission (Yes/No),Feature,No,Vital signs
Number of Reservoir mask within current admission,Feature,No,Vital signs
Had Reservoir mask within current admission (Yes/No),Feature,No,Vital signs
Number of Room air within current admission,Feature,No,Vital signs
Had Room air within current admission (Yes/No),Feature,No,Vital signs
Number of Simple mask within current admission,Feature,No,Vital signs
Had Simple mask within current admission (Yes/No),Feature,No,Vital signs
Number of Trache mask within current admission,Feature,No,Vital signs
Had Trache mask within current admission (Yes/No),Feature,No,Vital signs
Number of Venturi face mask within current admission,Feature,No,Vital signs
Had Venturi face mask within current admission (Yes/No),Feature,No,Vital signs
Numnber of labtests within 24 hours before index date,Feature,No,Laboratory tests
Number of Activated partial thromboplastin time 24 hours before index date,Feature,No,Laboratory tests
"Maximum Activated partial thromboplastin time 24 hours before index date, seconds",Feature,No,Laboratory tests
"Minimum Activated partial thromboplastin time 24 hours before index date, seconds",Feature,No,Laboratory tests
"Mean Activated partial thromboplastin time 24 hours before index date, seconds",Feature,No,Laboratory tests
"Median Activated partial thromboplastin time 24 hours before index date, seconds",Feature,No,Laboratory tests
SD of Activated partial thromboplastin time 24 hours before index date,Feature,No,Laboratory tests
Had Activated partial thromboplastin time 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Adjusted calcium 24 hours before index date,Feature,No,Laboratory tests
"Maximum Adjusted calcium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Adjusted calcium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Adjusted calcium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Adjusted calcium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Adjusted calcium 24 hours before index date,Feature,No,Laboratory tests
Had Adjusted calcium 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Alanine transaminase 24 hours before index date,Feature,No,Laboratory tests
"Maximum Alanine transaminase 24 hours before index date, IU/L",Feature,No,Laboratory tests
"Minimum Alanine transaminase 24 hours before index date, IU/L",Feature,No,Laboratory tests
"Mean Alanine transaminase 24 hours before index date, IU/L",Feature,No,Laboratory tests
"Median Alanine transaminase 24 hours before index date, IU/L",Feature,No,Laboratory tests
SD of Alanine transaminase 24 hours before index date,Feature,No,Laboratory tests
Had Alanine transaminase 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Albumin 24 hours before index date,Feature,No,Laboratory tests
"Maximum Albumin 24 hours before index date, g/L",Feature,No,Laboratory tests
"Minimum Albumin 24 hours before index date, g/L",Feature,No,Laboratory tests
"Mean Albumin 24 hours before index date, g/L",Feature,No,Laboratory tests
"Median Albumin 24 hours before index date, g/L",Feature,No,Laboratory tests
SD of Albumin 24 hours before index date,Feature,No,Laboratory tests
Had Albumin 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Alkaline phosphatase 24 hours before index date,Feature,No,Laboratory tests
"Maximum Alkaline phosphatase 24 hours before index date, IU/L",Feature,No,Laboratory tests
"Minimum Alkaline phosphatase 24 hours before index date, IU/L",Feature,No,Laboratory tests
"Mean Alkaline phosphatase 24 hours before index date, IU/L",Feature,No,Laboratory tests
"Median Alkaline phosphatase 24 hours before index date, IU/L",Feature,No,Laboratory tests
SD of Alkaline phosphatase 24 hours before index date,Feature,No,Laboratory tests
Had Alkaline phosphatase 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Base excess (Standard) 24 hours before index date,Feature,No,Laboratory tests
"Maximum Base excess (Standard) 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Base excess (Standard) 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Base excess (Standard) 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Base excess (Standard) 24 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Base excess (Standard) 24 hours before index date,Feature,No,Laboratory tests
Had Base excess (Standard) 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Basophils 24 hours before index date,Feature,No,Laboratory tests
"Maximum Basophils 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum Basophils 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean Basophils 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median Basophils 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of Basophils 24 hours before index date,Feature,No,Laboratory tests
Had Basophils 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Bilirubin 24 hours before index date,Feature,No,Laboratory tests
"Maximum Bilirubin 24 hours before index date, umol/L",Feature,No,Laboratory tests
"Minimum Bilirubin 24 hours before index date, umol/L",Feature,No,Laboratory tests
"Mean Bilirubin 24 hours before index date, umol/L",Feature,No,Laboratory tests
"Median Bilirubin 24 hours before index date, umol/L",Feature,No,Laboratory tests
SD of Bilirubin 24 hours before index date,Feature,No,Laboratory tests
Had Bilirubin 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Calcium 24 hours before index date,Feature,No,Laboratory tests
"Maximum Calcium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Calcium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Calcium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Calcium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Calcium 24 hours before index date,Feature,No,Laboratory tests
Had Calcium 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of C-reactive protein 24 hours before index date,Feature,No,Laboratory tests
"Maximum C-reactive protein 24 hours before index date, mg/L",Feature,No,Laboratory tests
"Minimum C-reactive protein 24 hours before index date, mg/L",Feature,No,Laboratory tests
"Mean C-reactive protein 24 hours before index date, mg/L",Feature,No,Laboratory tests
"Median C-reactive protein 24 hours before index date, mg/L",Feature,No,Laboratory tests
SD of C-reactive protein 24 hours before index date,Feature,No,Laboratory tests
Had C-reactive protein 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of cGlu 24 hours before index date,Feature,No,Laboratory tests
"Maximum cGlu 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum cGlu 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean cGlu 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median cGlu 24 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of cGlu 24 hours before index date,Feature,No,Laboratory tests
Had cGlu 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of cHCO3(P 24 hours before index date,Feature,No,Laboratory tests
"Maximum cHCO3(P 24 hours before index date,st)c",Feature,No,Laboratory tests
"Minimum cHCO3(P 24 hours before index date,st)c",Feature,No,Laboratory tests
"Mean cHCO3(P 24 hours before index date,st)c",Feature,No,Laboratory tests
"Median cHCO3(P 24 hours before index date,st)c",Feature,No,Laboratory tests
SD of cHCO3(P 24 hours before index date,Feature,No,Laboratory tests
Had cHCO3(P 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of cLac 24 hours before index date,Feature,No,Laboratory tests
"Maximum cLac 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum cLac 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean cLac 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median cLac 24 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of cLac 24 hours before index date,Feature,No,Laboratory tests
Had cLac 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Creatinine 24 hours before index date,Feature,No,Laboratory tests
"Maximum Creatinine 24 hours before index date, umol/L",Feature,No,Laboratory tests
"Minimum Creatinine 24 hours before index date, umol/L",Feature,No,Laboratory tests
"Mean Creatinine 24 hours before index date, umol/L",Feature,No,Laboratory tests
"Median Creatinine 24 hours before index date, umol/L",Feature,No,Laboratory tests
SD of Creatinine 24 hours before index date,Feature,No,Laboratory tests
Had Creatinine 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of D-dimer 24 hours before index date,Feature,No,Laboratory tests
"Maximum D-dimer 24 hours before index date, ug/L FEU",Feature,No,Laboratory tests
"Minimum D-dimer 24 hours before index date, ug/L FEU",Feature,No,Laboratory tests
"Mean D-dimer 24 hours before index date, ug/L FEU",Feature,No,Laboratory tests
"Median D-dimer 24 hours before index date, ug/L FEU",Feature,No,Laboratory tests
SD of D-dimer 24 hours before index date,Feature,No,Laboratory tests
Had D-dimer 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of eGFR 24 hours before index date,Feature,No,Laboratory tests
"Maximum eGFR 24 hours before index date, ml/min/1.73m*2",Feature,No,Laboratory tests
"Minimum eGFR 24 hours before index date, ml/min/1.73m*2",Feature,No,Laboratory tests
"Mean eGFR 24 hours before index date, ml/min/1.73m*2",Feature,No,Laboratory tests
"Median eGFR 24 hours before index date, ml/min/1.73m*2",Feature,No,Laboratory tests
SD of eGFR 24 hours before index date,Feature,No,Laboratory tests
Had eGFR 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Eosinophils 24 hours before index date,Feature,No,Laboratory tests
"Maximum Eosinophils 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum Eosinophils 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean Eosinophils 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median Eosinophils 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of Eosinophils 24 hours before index date,Feature,No,Laboratory tests
Had Eosinophils 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of FiO2 24 hours before index date,Feature,No,Laboratory tests
"Maximum FiO2 24 hours before index date, %",Feature,No,Laboratory tests
"Minimum FiO2 24 hours before index date, %",Feature,No,Laboratory tests
"Mean FiO2 24 hours before index date, %",Feature,No,Laboratory tests
"Median FiO2 24 hours before index date, %",Feature,No,Laboratory tests
SD of FiO2 24 hours before index date,Feature,No,Laboratory tests
Had FiO2 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Glucose 24 hours before index date,Feature,No,Glucose
"Maximum Glucose 24 hours before index date, mmol/l",Feature,No,Glucose
"Minimum Glucose 24 hours before index date, mmol/l",Feature,No,Glucose
"Mean Glucose 24 hours before index date, mmol/l",Feature,No,Glucose
"Median Glucose 24 hours before index date, mmol/l",Feature,No,Glucose
SD of Glucose 24 hours before index date,Feature,No,Glucose
Had Glucose 24 hours before index date (Yes/No),Feature,No,Glucose
Number of Haemoglobin 24 hours before index date,Feature,No,Laboratory tests
"Maximum Haemoglobin 24 hours before index date, g/L",Feature,No,Laboratory tests
"Minimum Haemoglobin 24 hours before index date, g/L",Feature,No,Laboratory tests
"Mean Haemoglobin 24 hours before index date, g/L",Feature,No,Laboratory tests
"Median Haemoglobin 24 hours before index date, g/L",Feature,No,Laboratory tests
SD of Haemoglobin 24 hours before index date,Feature,No,Laboratory tests
Had Haemoglobin 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Hematocrit 24 hours before index date,Feature,No,Laboratory tests
"Maximum Hematocrit 24 hours before index date, L/L",Feature,No,Laboratory tests
"Minimum Hematocrit 24 hours before index date, L/L",Feature,No,Laboratory tests
"Mean Hematocrit 24 hours before index date, L/L",Feature,No,Laboratory tests
"Median Hematocrit 24 hours before index date, L/L",Feature,No,Laboratory tests
SD of Hematocrit 24 hours before index date,Feature,No,Laboratory tests
Had Hematocrit 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Hemoglobin A1c (DCCT) 24 hours before index date,Feature,No,Laboratory tests
"Maximum Hemoglobin A1c (DCCT) 24 hours before index date, %",Feature,No,Laboratory tests
"Minimum Hemoglobin A1c (DCCT) 24 hours before index date, %",Feature,No,Laboratory tests
"Mean Hemoglobin A1c (DCCT) 24 hours before index date, %",Feature,No,Laboratory tests
"Median Hemoglobin A1c (DCCT) 24 hours before index date, %",Feature,No,Laboratory tests
SD of Hemoglobin A1c (DCCT) 24 hours before index date,Feature,No,Laboratory tests
Had Hemoglobin A1c (DCCT) 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Immature granulocytes 24 hours before index date,Feature,No,Laboratory tests
"Maximum Immature granulocytes 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum Immature granulocytes 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean Immature granulocytes 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median Immature granulocytes 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of Immature granulocytes 24 hours before index date,Feature,No,Laboratory tests
Had Immature granulocytes 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Ketone 24 hours before index date,Feature,No,Laboratory tests
"Maximum Ketone 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Ketone 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Ketone 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Ketone 24 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Ketone 24 hours before index date,Feature,No,Laboratory tests
Had Ketone 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Lymphocytes 24 hours before index date,Feature,No,Laboratory tests
"Maximum Lymphocytes 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum Lymphocytes 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean Lymphocytes 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median Lymphocytes 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of Lymphocytes 24 hours before index date,Feature,No,Laboratory tests
Had Lymphocytes 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Mean corpuscular volume 24 hours before index date,Feature,No,Laboratory tests
"Maximum Mean corpuscular volume 24 hours before index date, fL",Feature,No,Laboratory tests
"Minimum Mean corpuscular volume 24 hours before index date, fL",Feature,No,Laboratory tests
"Mean Mean corpuscular volume 24 hours before index date, fL",Feature,No,Laboratory tests
"Median Mean corpuscular volume 24 hours before index date, fL",Feature,No,Laboratory tests
SD of Mean corpuscular volume 24 hours before index date,Feature,No,Laboratory tests
Had Mean corpuscular volume 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Monocytes 24 hours before index date,Feature,No,Laboratory tests
"Maximum Monocytes 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum Monocytes 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean Monocytes 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median Monocytes 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of Monocytes 24 hours before index date,Feature,No,Laboratory tests
Had Monocytes 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Neutrophils 24 hours before index date,Feature,No,Laboratory tests
"Maximum Neutrophils 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum Neutrophils 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean Neutrophils 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median Neutrophils 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of Neutrophils 24 hours before index date,Feature,No,Laboratory tests
Had Neutrophils 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of PCO2 24 hours before index date,Feature,No,Laboratory tests
"Maximum PCO2 24 hours before index date, kPa",Feature,No,Laboratory tests
"Minimum PCO2 24 hours before index date, kPa",Feature,No,Laboratory tests
"Mean PCO2 24 hours before index date, kPa",Feature,No,Laboratory tests
"Median PCO2 24 hours before index date, kPa",Feature,No,Laboratory tests
SD of PCO2 24 hours before index date,Feature,No,Laboratory tests
Had PCO2 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Phosphate 24 hours before index date,Feature,No,Laboratory tests
"Maximum Phosphate 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Phosphate 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Phosphate 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Phosphate 24 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Phosphate 24 hours before index date,Feature,No,Laboratory tests
Had Phosphate 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Platelets 24 hours before index date,Feature,No,Laboratory tests
"Maximum Platelets 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum Platelets 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean Platelets 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median Platelets 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of Platelets 24 hours before index date,Feature,No,Laboratory tests
Had Platelets 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of PO2 24 hours before index date,Feature,No,Laboratory tests
"Maximum PO2 24 hours before index date, kPa",Feature,No,Laboratory tests
"Minimum PO2 24 hours before index date, kPa",Feature,No,Laboratory tests
"Mean PO2 24 hours before index date, kPa",Feature,No,Laboratory tests
"Median PO2 24 hours before index date, kPa",Feature,No,Laboratory tests
SD of PO2 24 hours before index date,Feature,No,Laboratory tests
Had PO2 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Potassium 24 hours before index date,Feature,No,Laboratory tests
"Maximum Potassium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Potassium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Potassium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Potassium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Potassium 24 hours before index date,Feature,No,Laboratory tests
Had Potassium 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Prothrombin time 24 hours before index date,Feature,No,Laboratory tests
"Maximum Prothrombin time 24 hours before index date, seconds",Feature,No,Laboratory tests
"Minimum Prothrombin time 24 hours before index date, seconds",Feature,No,Laboratory tests
"Mean Prothrombin time 24 hours before index date, seconds",Feature,No,Laboratory tests
"Median Prothrombin time 24 hours before index date, seconds",Feature,No,Laboratory tests
SD of Prothrombin time 24 hours before index date,Feature,No,Laboratory tests
Had Prothrombin time 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Sodium 24 hours before index date,Feature,No,Laboratory tests
"Maximum Sodium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Sodium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Sodium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Sodium 24 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Sodium 24 hours before index date,Feature,No,Laboratory tests
Had Sodium 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Urea 24 hours before index date,Feature,No,Laboratory tests
"Maximum Urea 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Urea 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Urea 24 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Urea 24 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Urea 24 hours before index date,Feature,No,Laboratory tests
Had Urea 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of White cell count 24 hours before index date,Feature,No,Laboratory tests
"Maximum White cell count 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Minimum White cell count 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Mean White cell count 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
"Median White cell count 24 hours before index date, x10*9/L",Feature,No,Laboratory tests
SD of White cell count 24 hours before index date,Feature,No,Laboratory tests
Had White cell count 24 hours before index date (Yes/No),Feature,No,Laboratory tests
Numnber of labtests within 48 hours before index date,Feature,No,Laboratory tests
Number of Activated partial thromboplastin time 48 hours before index date,Feature,No,Laboratory tests
"Maximum Activated partial thromboplastin time 48 hours before index date, seconds",Feature,No,Laboratory tests
"Minimum Activated partial thromboplastin time 48 hours before index date, seconds",Feature,No,Laboratory tests
"Mean Activated partial thromboplastin time 48 hours before index date, seconds",Feature,No,Laboratory tests
"Median Activated partial thromboplastin time 48 hours before index date, seconds",Feature,No,Laboratory tests
SD of Activated partial thromboplastin time 48 hours before index date,Feature,No,Laboratory tests
Had Activated partial thromboplastin time 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Adjusted calcium 48 hours before index date,Feature,No,Laboratory tests
"Maximum Adjusted calcium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Minimum Adjusted calcium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Mean Adjusted calcium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
"Median Adjusted calcium 48 hours before index date, mmol/L",Feature,No,Laboratory tests
SD of Adjusted calcium 48 hours before index date,Feature,No,Laboratory tests
Had Adjusted calcium 48 hours before index date (Yes/No),Feature,No,Laboratory tests
Number of Alanine transaminase 48 hours before index date,Feature,No,Laboratory tests
"Maximum Alanine transaminase 48 hours before index date, IU/L",Feature,No,Laboratory tests
