PostcodeStub,Freq,Fixed_Postcode
CF34,3,Other regions
CF37,3,Other regions
CF48,3,Other regions
CH1,3,Other regions
CH47,3,Other regions
CM3,3,Other regions
CR4,3,Other regions
CT20,3,Other regions
DA16,3,Other regions
DE65,3,Other regions
DL1,3,Other regions
DL9,3,Other regions
DN11,3,Other regions
DN14,3,Other regions
DN15,3,Other regions
DN21,3,Other regions
EH13,3,Other regions
EH45,3,Other regions
EN5,3,Other regions
EX22,3,Other regions
G75,3,Other regions
GY4,3,Other regions
GY8,3,Other regions
HA0,3,Other regions
HG3,3,Other regions
IM3,3,Other regions
IP2,3,Other regions
KA6,3,Other regions
LA3,3,Other regions
LL20,3,Other regions
LL21,3,Other regions
LL35,3,Other regions
LL48,3,Other regions
LL54,3,Other regions
LL68,3,Other regions
LS11,3,Other regions
M1,3,Other regions
M14,3,Other regions
M24,3,Other regions
M45,3,Other regions
ME10,3,Other regions
ME17,3,Other regions
ME2,3,Other regions
N13,3,Other regions
N5,3,Other regions
N6,3,Other regions
NE11,3,Other regions
NE9,3,Other regions
NG14,3,Other regions
NR14,3,Other regions
NR16,3,Other regions
NR20,3,Other regions
NR3,3,Other regions
NR8,3,Other regions
NR9,3,Other regions
PE25,3,Other regions
PL2,3,Other regions
PL5,3,Other regions
PO17,3,Other regions
RH18,3,Other regions
RM8,3,Other regions
S36,3,Other regions
SA15,3,Other regions
SG2,3,Other regions
SG8,3,Other regions
SK4,3,Other regions
SS1,3,Other regions
SW9,3,Other regions
SY12,3,Other regions
TF7,3,Other regions
TQ10,3,Other regions
TQ14,3,Other regions
TR13,3,Other regions
TR19,3,Other regions
TR2,3,Other regions
TS15,3,Other regions
TW11,3,Other regions
WC1H,3,Other regions
WN7,3,Other regions
WS2,3,Other regions
AB41,2,Other regions
AB51,2,Other regions
B19,2,Other regions
B3,2,Other regions
B79,2,Other regions
BB18,2,Other regions
BD15,2,Other regions
BD8,2,Other regions
BFP,2,Other regions
BN22,2,Other regions
BN24,2,Other regions
BR6,2,Other regions
BR7,2,Other regions
BS28,2,Other regions
BT30,2,Other regions
BT77,2,Other regions
CB21,2,Other regions
CF3,2,Other regions
CF44,2,Other regions
CF71,2,Other regions
CF81,2,Other regions
CH43,2,Other regions
CH66,2,Other regions
CH7,2,Other regions
CM1,2,Other regions
CM8,2,Other regions
CO5,2,Other regions
CW12,2,Other regions
CW7,2,Other regions
DE4,2,Other regions
DT7,2,Other regions
DY14,2,Other regions
E8,2,Other regions
EC1M,2,Other regions
EH21,2,Other regions
EX20,2,Other regions
EX23,2,Other regions
EX34,2,Other regions
G61,2,Other regions
G68,2,Other regions
GY9,2,Other regions
HD9,2,Other regions
HG2,2,Other regions
HR2,2,Other regions
HU8,2,Other regions
IG3,2,Other regions
IP17,2,Other regions
IP27,2,Other regions
KT10,2,Other regions
KT3,2,Other regions
L1,2,Other regions
L15,2,Other regions
LL56,2,Other regions
LS6,2,Other regions
LS9,2,Other regions
M19,2,Other regions
M23,2,Other regions
M25,2,Other regions
M29,2,Other regions
M38,2,Other regions
M50,2,Other regions
ML10,2,Other regions
N2,2,Other regions
NE22,2,Other regions
NE61,2,Other regions
NG23,2,Other regions
NG9,2,Other regions
NR10,2,Other regions
NR13,2,Other regions
NR18,2,Other regions
NR31,2,Other regions
NR35,2,Other regions
NR7,2,Other regions
PA14,2,Other regions
PE12,2,Other regions
PH2,2,Other regions
PL13,2,Other regions
PL8,2,Other regions
PO31,2,Other regions
PO40,2,Other regions
RM14,2,Other regions
RM2,2,Other regions
RM9,2,Other regions
S12,2,Other regions
S33,2,Other regions
S41,2,Other regions
S5,2,Other regions
S6,2,Other regions
SA10,2,Other regions
SA16,2,Other regions
SA40,2,Other regions
SA46,2,Other regions
SA5,2,Other regions
SA6,2,Other regions
SE2,2,Other regions
SE21,2,Other regions
SE27,2,Other regions
SE4,2,Other regions
SG14,2,Other regions
SG5,2,Other regions
SK11,2,Other regions
SK2,2,Other regions
SK3,2,Other regions
SK9,2,Other regions
SR3,2,Other regions
ST18,2,Other regions
ST3,2,Other regions
SY13,2,Other regions
SY23,2,Other regions
SY8,2,Other regions
TA21,2,Other regions
TF3,2,Other regions
TN16,2,Other regions
TN19,2,Other regions
TN21,2,Other regions
TN32,2,Other regions
TN6,2,Other regions
TQ13,2,Other regions
TS17,2,Other regions
W1U,2,Other regions
WA12,2,Other regions
WA2,2,Other regions
WA6,2,Other regions
WF15,2,Other regions
WF3,2,Other regions
WS1,2,Other regions
WS5,2,Other regions
YO23,2,Other regions
YO8,2,Other regions
AB10,1,Other regions
AL2,1,Other regions
B10,1,Other regions
B25,1,Other regions
B31,1,Other regions
B43,1,Other regions
B68,1,Other regions
BA5,1,Other regions
BB7,1,Other regions
BD3,1,Other regions
BD7,1,Other regions
BH7,1,Other regions
BL6,1,Other regions
BN42,1,Other regions
BN5,1,Other regions
BN7,1,Other regions
BR1,1,Other regions
BT10,1,Other regions
BT13,1,Other regions
BT23,1,Other regions
BT24,1,Other regions
BT25,1,Other regions
BT37,1,Other regions
CA23,1,Other regions
CA7,1,Other regions
CB1,1,Other regions
CB10,1,Other regions
CB22,1,Other regions
CF10,1,Other regions
CF83,1,Other regions
CH4,1,Other regions
CH46,1,Other regions
CH65,1,Other regions
CO10,1,Other regions
CO3,1,Other regions
CO4,1,Other regions
CR8,1,Other regions
CT10,1,Other regions
CW4,1,Other regions
CW9,1,Other regions
DE11,1,Other regions
DE13,1,Other regions
DE73,1,Other regions
DH8,1,Other regions
DL13,1,Other regions
DN5,1,Other regions
DT8,1,Other regions
DY11,1,Other regions
EH33,1,Other regions
EH7,1,Other regions
EN11,1,Other regions
EN7,1,Other regions
EX16,1,Other regions
FY8,1,Other regions
G41,1,Other regions
G69,1,Other regions
G82,1,Other regions
G83,1,Other regions
GU33,1,Other regions
GU8,1,Other regions
GY10,1,Other regions
HD5,1,Other regions
HR3,1,Other regions
HR7,1,Other regions
HU13,1,Other regions
HU7,1,Other regions
IP21,1,Other regions
IP5,1,Other regions
KA11,1,Other regions
KT23,1,Other regions
KT8,1,Other regions
KW15,1,Other regions
KY2,1,Other regions
L18,1,Other regions
L31,1,Other regions
L4,1,Other regions
L40,1,Other regions
LA7,1,Other regions
LE65,1,Other regions
LE67,1,Other regions
LL13,1,Other regions
LL32,1,Other regions
LL65,1,Other regions
LN8,1,Other regions
LS12,1,Other regions
LS14,1,Other regions
LS17,1,Other regions
LS18,1,Other regions
LS19,1,Other regions
LS2,1,Other regions
LS21,1,Other regions
LS3,1,Other regions
M15,1,Other regions
M21,1,Other regions
M26,1,Other regions
M28,1,Other regions
M4,1,Other regions
M40,1,Other regions
M9,1,Other regions
ME1,1,Other regions
ME4,1,Other regions
NE15,1,Other regions
NE28,1,Other regions
NG17,1,Other regions
NP11,1,Other regions
NR26,1,Other regions
NR6,1,Other regions
NW5,1,Other regions
OL1,1,Other regions
OL10,1,Other regions
PA11,1,Other regions
PA32,1,Other regions
PA34,1,Other regions
PE32,1,Other regions
PE4,1,Other regions
PH26,1,Other regions
PH6,1,Other regions
PL33,1,Other regions
PL7,1,Other regions
PO38,1,Other regions
S2,1,Other regions
S60,1,Other regions
SA13,1,Other regions
SA33,1,Other regions
SA39,1,Other regions
SA44,1,Other regions
SA7,1,Other regions
SA71,1,Other regions
SE11,1,Other regions
SE19,1,Other regions
SE8,1,Other regions
SK6,1,Other regions
SM3,1,Other regions
SM7,1,Other regions
SO42,1,Other regions
SR5,1,Other regions
SS15,1,Other regions
ST15,1,Other regions
SY10,1,Other regions
SY14,1,Other regions
SY17,1,Other regions
TA23,1,Other regions
TA9,1,Other regions
TF1,1,Other regions
TF12,1,Other regions
TF2,1,Other regions
TN11,1,Other regions
TN27,1,Other regions
TN5,1,Other regions
TN8,1,Other regions
TQ7,1,Other regions
TR3,1,Other regions
TS11,1,Other regions
TS14,1,Other regions
TS4,1,Other regions
TS8,1,Other regions
WA1,1,Other regions
WA4,1,Other regions
WA5,1,Other regions
WC1N,1,Other regions
WF12,1,Other regions
WF4,1,Other regions
WN2,1,Other regions
WN5,1,Other regions
WN6,1,Other regions
WS4,1,Other regions
WV1,1,Other regions
WV4,1,Other regions
WV7,1,Other regions
YO13,1,Other regions
YO21,1,Other regions
